ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9514864,HX170319,03/02/2014 11:13:00 PM,036XX S KEDZIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0911,009,12,58,18,1155581,1880536,2014,03/05/2014 12:39:37 AM,41.82798822039725,-87.70469758917982,"(41.82798822039725, -87.70469758917982)"
9514913,HX170354,03/02/2014 11:08:00 PM,096XX S MERRILL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0431,004,7,51,08B,1192401,1841567,2014,03/08/2014 12:40:21 AM,41.720235681064715,-87.5708782883313,"(41.720235681064715, -87.5708782883313)"
9514897,HX170321,03/02/2014 11:03:00 PM,0000X S HAMLIN BLVD,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,SIDEWALK,true,false,1122,011,28,27,18,1151109,1899711,2014,03/05/2014 12:39:37 AM,41.8806953659956,-87.72060300432791,"(41.8806953659956, -87.72060300432791)"
9514898,HX170342,03/02/2014 11:03:00 PM,064XX S HOYNE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0726,007,15,67,08A,1163512,1861854,2014,03/06/2014 12:40:43 AM,41.776559593562084,-87.67612360685983,"(41.776559593562084, -87.67612360685983)"
9516047,HX171751,03/02/2014 11:00:00 PM,076XX S EGGLESTON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0621,006,17,69,06,1174655,1854378,2014,03/07/2014 12:40:58 AM,41.75580363235279,-87.63549636660623,"(41.75580363235279, -87.63549636660623)"
9515077,HX170678,03/02/2014 11:00:00 PM,021XX W WASHINGTON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1223,012,2,28,08B,1162219,1900708,2014,03/09/2014 12:39:51 AM,41.88320631246407,-87.67978008339547,"(41.88320631246407, -87.67978008339547)"
9514985,HX170434,03/02/2014 11:00:00 PM,005XX N MAY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1214,012,27,24,14,1168766,1903760,2014,03/05/2014 12:39:37 AM,41.89144188032153,-87.65565070777153,"(41.89144188032153, -87.65565070777153)"
9514891,HX170316,03/02/2014 11:00:00 PM,090XX S DAUPHIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0633,006,8,44,08B,1183622,1844941,2014,03/05/2014 12:39:37 AM,41.72970318942981,-87.60292824908383,"(41.72970318942981, -87.60292824908383)"
9514873,HX170335,03/02/2014 11:00:00 PM,050XX N WINTHROP AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,true,false,2033,020,48,3,04A,1167911,1934021,2014,03/05/2014 12:39:37 AM,41.97449805431988,-87.65791519170006,"(41.97449805431988, -87.65791519170006)"
9514908,HX170361,03/02/2014 11:00:00 PM,002XX W NORTH AVE,0810,THEFT,OVER $500,ATHLETIC CLUB,false,false,1814,018,43,7,06,1174055,1911024,2014,03/05/2014 12:39:37 AM,41.91125840483872,-87.63601001468318,"(41.91125840483872, -87.63601001468318)"
